Player,Team,Opposition,Runs,NotOut,Mins,BF,4s,6s,SR,Inns,Venue,Start Date,Year
YBK Jaiswal,Rajasthan Royals,Gujarat Titans,22,0,22,16,1,2,137.5,1,Ahmedabad,29-May-22,2022
JC Buttler,Rajasthan Royals,Gujarat Titans,39,0,64,35,5,0,111.42,1,Ahmedabad,29-May-22,2022
SV Samson,Rajasthan Royals,Gujarat Titans,14,0,21,11,2,0,127.27,1,Ahmedabad,29-May-22,2022
D Padikkal,Rajasthan Royals,Gujarat Titans,2,0,20,10,0,0,20,1,Ahmedabad,29-May-22,2022
SO Hetmyer,Rajasthan Royals,Gujarat Titans,11,0,20,12,2,0,91.66,1,Ahmedabad,29-May-22,2022
R Ashwin,Rajasthan Royals,Gujarat Titans,6,0,22,9,0,0,66.66,1,Ahmedabad,29-May-22,2022
R Parag,Rajasthan Royals,Gujarat Titans,15,0,29,15,1,0,100,1,Ahmedabad,29-May-22,2022
TA Boult,Rajasthan Royals,Gujarat Titans,11,0,10,7,0,1,157.14,1,Ahmedabad,29-May-22,2022
OC McCoy,Rajasthan Royals,Gujarat Titans,8,0,12,5,0,1,160,1,Ahmedabad,29-May-22,2022
M Prasidh Krishna,Rajasthan Royals,Gujarat Titans,0,1,2,0,0,0,0,1,Ahmedabad,29-May-22,2022
YS Chahal,Rajasthan Royals,Gujarat Titans,0,0,0,0,0,0,0,1,Ahmedabad,29-May-22,2022
WP Saha,Gujarat Titans,Rajasthan Royals,5,0,8,7,1,0,71.42,2,Ahmedabad,29-May-22,2022
Shubman Gill,Gujarat Titans,Rajasthan Royals,45,1,86,43,3,1,104.65,2,Ahmedabad,29-May-22,2022
MS Wade,Gujarat Titans,Rajasthan Royals,8,0,16,10,0,1,80,2,Ahmedabad,29-May-22,2022
HH Pandya,Gujarat Titans,Rajasthan Royals,34,0,42,30,3,1,113.33,2,Ahmedabad,29-May-22,2022
DA Miller,Gujarat Titans,Rajasthan Royals,32,1,23,19,3,1,168.42,2,Ahmedabad,29-May-22,2022
R Tewatia,Gujarat Titans,Rajasthan Royals,0,0,0,0,0,0,0,2,Ahmedabad,29-May-22,2022
R Sai Kishore,Gujarat Titans,Rajasthan Royals,0,0,0,0,0,0,0,2,Ahmedabad,29-May-22,2022
Rashid Khan,Gujarat Titans,Rajasthan Royals,0,0,0,0,0,0,0,2,Ahmedabad,29-May-22,2022
Yash Dayal,Gujarat Titans,Rajasthan Royals,0,0,0,0,0,0,0,2,Ahmedabad,29-May-22,2022
LH Ferguson,Gujarat Titans,Rajasthan Royals,0,0,0,0,0,0,0,2,Ahmedabad,29-May-22,2022
Mohammed Shami,Gujarat Titans,Rajasthan Royals,0,0,0,0,0,0,0,2,Ahmedabad,29-May-22,2022
V Kohli,Royal Challengers Bangalore,Rajasthan Royals,7,0,11,8,0,1,87.5,1,Ahmedabad,27-May-22,2022
F du Plessis,Royal Challengers Bangalore,Rajasthan Royals,25,0,50,27,3,0,92.59,1,Ahmedabad,27-May-22,2022
RM Patidar,Royal Challengers Bangalore,Rajasthan Royals,58,0,65,42,4,3,138.09,1,Ahmedabad,27-May-22,2022
GJ Maxwell,Royal Challengers Bangalore,Rajasthan Royals,24,0,18,13,1,2,184.61,1,Ahmedabad,27-May-22,2022
MK Lomror,Royal Challengers Bangalore,Rajasthan Royals,8,0,21,10,0,0,80,1,Ahmedabad,27-May-22,2022
KD Karthik,Royal Challengers Bangalore,Rajasthan Royals,6,0,17,7,0,0,85.71,1,Ahmedabad,27-May-22,2022
Shahbaz Ahmed,Royal Challengers Bangalore,Rajasthan Royals,12,1,16,8,1,1,150,1,Ahmedabad,27-May-22,2022
PWH de Silva,Royal Challengers Bangalore,Rajasthan Royals,0,0,2,1,0,0,0,1,Ahmedabad,27-May-22,2022
HV Patel,Royal Challengers Bangalore,Rajasthan Royals,1,0,7,2,0,0,50,1,Ahmedabad,27-May-22,2022
JR Hazlewood,Royal Challengers Bangalore,Rajasthan Royals,1,1,4,2,0,0,50,1,Ahmedabad,27-May-22,2022
Mohammed Siraj,Royal Challengers Bangalore,Rajasthan Royals,0,0,0,0,0,0,0,1,Ahmedabad,27-May-22,2022
YBK Jaiswal,Rajasthan Royals,Royal Challengers Bangalore,21,0,25,13,1,2,161.53,2,Ahmedabad,27-May-22,2022
JC Buttler,Rajasthan Royals,Royal Challengers Bangalore,106,1,86,60,10,6,176.66,2,Ahmedabad,27-May-22,2022
SV Samson,Rajasthan Royals,Royal Challengers Bangalore,23,0,29,21,1,2,109.52,2,Ahmedabad,27-May-22,2022
D Padikkal,Rajasthan Royals,Royal Challengers Bangalore,9,0,26,12,0,0,75,2,Ahmedabad,27-May-22,2022
SO Hetmyer,Rajasthan Royals,Royal Challengers Bangalore,2,1,8,3,0,0,66.66,2,Ahmedabad,27-May-22,2022
TA Boult,Rajasthan Royals,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Ahmedabad,27-May-22,2022
R Ashwin,Rajasthan Royals,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Ahmedabad,27-May-22,2022
M Prasidh Krishna,Rajasthan Royals,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Ahmedabad,27-May-22,2022
YS Chahal,Rajasthan Royals,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Ahmedabad,27-May-22,2022
R Parag,Rajasthan Royals,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Ahmedabad,27-May-22,2022
