Year,Team short,Pld,Won,Lost,Net RR,Pts,Position,Trophies,Team
2008,RR,14,11,3,0.632,22,1,1,Rajasthan Royals
2008,KXIP,14,10,4,0.509,20,2,0,Kings XI Punjab
2008,CSK,14,8,6,-0.192,16,3,0,Chennai Super Kings
2008,DC,14,7,6,0.342,15,4,0,Deccan Chargers
2008,MI,14,7,7,0.57,14,5,0,Mumbai Indians
2008,KKR,14,6,7,-0.147,13,6,0,Kolkata Knight Riders
2008,RCB,14,4,10,-1.16,8,7,0,Royal Challengers Bangalore
2008,SRH,14,2,12,-0.467,4,8,0,Sunrisers Hyderabad
2009,DC,14,10,4,0.311,20,1,1,Deccan Chargers
2009,CSK,14,8,5,0.951,17,2,0,Chennai Super Kings
2009,RCB,14,8,6,-0.191,16,3,0,Royal Challengers Bangalore
2009,SRH,14,7,7,0.203,14,4,0,Sunrisers Hyderabad
2009,KXIP,14,7,7,-0.483,14,5,0,Kings XI Punjab
2009,RR,14,6,7,-0.352,13,6,0,Rajasthan Royals
2009,MI,14,5,8,0.297,11,7,0,Mumbai Indians
2009,KKR,14,3,10,-0.789,7,8,0,Kolkata Knight Riders
2010,MI,14,10,4,1.084,20,1,0,Mumbai Indians
2010,SRH,14,8,6,-0.297,16,2,0,Sunrisers Hyderabad
2010,CSK,14,7,7,0.274,14,3,1,Chennai Super Kings
2010,RCB,14,7,7,0.219,14,4,0,Royal Challengers Bangalore
2010,DC,14,7,7,0.021,14,5,0,Deccan Chargers
2010,KKR,14,7,7,-0.341,14,6,0,Kolkata Knight Riders
2010,RR,14,6,8,-0.514,12,7,0,Rajasthan Royals
2010,KXIP,14,4,10,-0.478,8,8,0,Kings XI Punjab
2011,RCB,14,9,4,0.326,19,1,0,Royal Challengers Bangalore
2011,CSK,14,9,5,0.443,18,2,1,Chennai Super Kings
2011,MI,14,9,5,0.04,18,3,0,Mumbai Indians
2011,KKR,14,8,6,0.433,16,4,0,Kolkata Knight Riders
2011,KXIP,14,7,7,-0.051,14,5,0,Kings XI Punjab
2011,RR,14,6,7,-0.691,13,6,0,Rajasthan Royals
2011,SRH,14,6,8,0.222,12,7,0,Sunrisers Hyderabad
2011,Kochi,14,6,8,-0.214,12,8,0,Kochi Tuskers Kerala
2011,DC,14,4,9,-0.448,9,9,0,Deccan Chargers
